Hour beginning,Current 2012-10-04 15:00,Previous 2012-10-04 14:00,Delta
0,40661.800000000003,40661.800000000003,0.0
1,40714.400000000001,40714.400000000001,0.0
2,41333.300000000003,41333.300000000003,0.0
3,40866.300000000003,40866.300000000003,0.0
4,39698.800000000003,39698.800000000003,0.0
5,39601.900000000001,39601.900000000001,0.0
6,40621.0,40621.0,0.0
7,40511.300000000003,40511.300000000003,0.0
8,42225.0,42225.0,0.0
9,42637.599999999999,42637.599999999999,0.0
10,45136.699999999997,45136.699999999997,0.0
11,48051.400000000001,48051.400000000001,0.0
12,49227.199999999997,49227.199999999997,0.0
13,49627.400000000001,49627.400000000001,0.0
14,51363.0,51363.0,0.0
15,52494.800000000003,52494.800000000003,0.0
16,52953.300000000003,52743.0,210.30000000000291
17,52300.0,52134.099999999999,165.90000000000146
18,50095.599999999999,50018.199999999997,77.400000000001455
19,49315.0,49191.199999999997,123.80000000000291
20,48148.300000000003,48191.199999999997,-42.899999999994179
21,47911.300000000003,48172.800000000003,-261.5
22,43623.0,43566.5,56.5
23,40987.099999999999,41200.199999999997,-213.09999999999854
