Datetime,RT,RTD 2012-10-12 13:25,RTD 2012-10-12 13:20,RTD 2012-10-12 12:25,DA
2012-10-12 06:50:00-05:00,26.309999999999999,,,,29.789999999999999
2012-10-12 06:55:00-05:00,26.27,,,,29.789999999999999
2012-10-12 07:00:00-05:00,24.449999999999999,,,,27.100000000000001
2012-10-12 07:05:00-05:00,23.399999999999999,,,,27.100000000000001
2012-10-12 07:10:00-05:00,23.379999999999999,,,,27.100000000000001
2012-10-12 07:15:00-05:00,23.27,,,,27.100000000000001
2012-10-12 07:20:00-05:00,23.170000000000002,,,,27.100000000000001
2012-10-12 07:25:00-05:00,23.109999999999999,,,,27.100000000000001
2012-10-12 07:30:00-05:00,22.989999999999998,,,,27.100000000000001
2012-10-12 07:35:00-05:00,22.960000000000001,,,,27.100000000000001
2012-10-12 07:40:00-05:00,22.66,,,,27.100000000000001
2012-10-12 07:45:00-05:00,22.670000000000002,,,,27.100000000000001
2012-10-12 07:50:00-05:00,22.649999999999999,,,,27.100000000000001
2012-10-12 07:55:00-05:00,22.699999999999999,,,,27.100000000000001
2012-10-12 08:00:00-05:00,22.73,,,,27.109999999999999
2012-10-12 08:05:00-05:00,22.649999999999999,,,,27.109999999999999
2012-10-12 08:10:00-05:00,22.350000000000001,,,,27.109999999999999
2012-10-12 08:15:00-05:00,22.34,,,,27.109999999999999
2012-10-12 08:20:00-05:00,22.600000000000001,,,,27.109999999999999
2012-10-12 08:25:00-05:00,22.510000000000002,,,,27.109999999999999
2012-10-12 08:30:00-05:00,22.760000000000002,,,,27.109999999999999
2012-10-12 08:35:00-05:00,22.91,,,,27.109999999999999
2012-10-12 08:40:00-05:00,22.73,,,,27.109999999999999
2012-10-12 08:45:00-05:00,22.800000000000001,,,,27.109999999999999
2012-10-12 08:50:00-05:00,22.77,,,,27.109999999999999
2012-10-12 08:55:00-05:00,22.989999999999998,,,,27.109999999999999
2012-10-12 09:00:00-05:00,23.02,,,,28.73
2012-10-12 09:05:00-05:00,22.739999999999998,,,,28.73
2012-10-12 09:10:00-05:00,22.699999999999999,,,,28.73
2012-10-12 09:15:00-05:00,22.870000000000001,,,,28.73
2012-10-12 09:20:00-05:00,22.789999999999999,,,,28.73
2012-10-12 09:25:00-05:00,22.870000000000001,,,,28.73
2012-10-12 09:30:00-05:00,22.93,,,,28.73
2012-10-12 09:35:00-05:00,22.879999999999999,,,,28.73
2012-10-12 09:40:00-05:00,22.760000000000002,,,,28.73
2012-10-12 09:45:00-05:00,22.760000000000002,,,,28.73
2012-10-12 09:50:00-05:00,22.48,,,,28.73
2012-10-12 09:55:00-05:00,22.440000000000001,,,,28.73
2012-10-12 10:00:00-05:00,22.359999999999999,,,,26.75
2012-10-12 10:05:00-05:00,22.289999999999999,,,,26.75
2012-10-12 10:10:00-05:00,22.32,,,,26.75
2012-10-12 10:15:00-05:00,22.289999999999999,,,,26.75
2012-10-12 10:20:00-05:00,22.440000000000001,,,,26.75
2012-10-12 10:25:00-05:00,22.280000000000001,,,,26.75
2012-10-12 10:30:00-05:00,22.379999999999999,,,,26.75
2012-10-12 10:35:00-05:00,22.59,,,,26.75
2012-10-12 10:40:00-05:00,22.859999999999999,,,,26.75
2012-10-12 10:45:00-05:00,22.82,,,,26.75
2012-10-12 10:50:00-05:00,22.920000000000002,,,,26.75
2012-10-12 10:55:00-05:00,23.550000000000001,,,,26.75
2012-10-12 11:00:00-05:00,23.690000000000001,,,,30.09
2012-10-12 11:05:00-05:00,23.75,,,,30.09
2012-10-12 11:10:00-05:00,24.07,,,,30.09
2012-10-12 11:15:00-05:00,23.84,,,,30.09
2012-10-12 11:20:00-05:00,23.879999999999999,,,,30.09
