Datetime,15MIN LOAD,HOURLY LOAD,ISO FORECAST 2012-10-03 12:00,ISO FORECAST 2012-10-04 15:00
2012-10-04 00:00:00-05:00,30148.475900000001,29424.650000000001,28988.766100000001,28951.5157
2012-10-04 00:15:00-05:00,29663.208299999998,29424.650000000001,28988.766100000001,28951.5157
2012-10-04 00:30:00-05:00,29099.125700000001,29424.650000000001,28988.766100000001,28951.5157
2012-10-04 00:45:00-05:00,28707.268199999999,29424.650000000001,28988.766100000001,28951.5157
2012-10-04 01:00:00-05:00,28286.455699999999,27823.5,27592.069,27795.0942
2012-10-04 01:15:00-05:00,28002.268199999999,27823.5,27592.069,27795.0942
2012-10-04 01:30:00-05:00,27607.846399999999,27823.5,27592.069,27795.0942
2012-10-04 01:45:00-05:00,27336.285199999998,27823.5,27592.069,27795.0942
2012-10-04 02:00:00-05:00,27115.606800000001,26806.43,26885.011600000002,26925.6276
2012-10-04 02:15:00-05:00,26884.860700000001,26806.43,26885.011600000002,26925.6276
2012-10-04 02:30:00-05:00,26682.7474,26806.43,26885.011600000002,26925.6276
2012-10-04 02:45:00-05:00,26510.7598,26806.43,26885.011600000002,26925.6276
2012-10-04 03:00:00-05:00,26453.0723,26335.66,26342.4067,26141.275799999999
2012-10-04 03:15:00-05:00,26326.826799999999,26335.66,26342.4067,26141.275799999999
2012-10-04 03:30:00-05:00,26311.142599999999,26335.66,26342.4067,26141.275799999999
2012-10-04 03:45:00-05:00,26245.458299999998,26335.66,26342.4067,26141.275799999999
2012-10-04 04:00:00-05:00,26412.802100000001,26623.75,26429.112000000001,26685.270799999998
2012-10-04 04:15:00-05:00,26534.9499,26623.75,26429.112000000001,26685.270799999998
2012-10-04 04:30:00-05:00,26664.397799999999,26623.75,26429.112000000001,26685.270799999998
2012-10-04 04:45:00-05:00,26917.235700000001,26623.75,26429.112000000001,26685.270799999998
2012-10-04 05:00:00-05:00,27569.981800000001,28438.299999999999,27912.1973,28461.1037
2012-10-04 05:15:00-05:00,28146.908200000002,28438.299999999999,27912.1973,28461.1037
2012-10-04 05:30:00-05:00,28726.9967,28438.299999999999,27912.1973,28461.1037
2012-10-04 05:45:00-05:00,29424.101600000002,28438.299999999999,27912.1973,28461.1037
2012-10-04 06:00:00-05:00,30543.050800000001,31858.0,30979.891100000001,31809.9061
2012-10-04 06:15:00-05:00,31654.8145,31858.0,30979.891100000001,31809.9061
2012-10-04 06:30:00-05:00,32346.582699999999,31858.0,30979.891100000001,31809.9061
2012-10-04 06:45:00-05:00,33052.25,31858.0,30979.891100000001,31809.9061
2012-10-04 07:00:00-05:00,33443.990899999997,33064.370000000003,32158.507600000001,33130.534899999999
2012-10-04 07:15:00-05:00,33245.014300000003,33064.370000000003,32158.507600000001,33130.534899999999
2012-10-04 07:30:00-05:00,32802.297500000001,33064.370000000003,32158.507600000001,33130.534899999999
2012-10-04 07:45:00-05:00,32745.412100000001,33064.370000000003,32158.507600000001,33130.534899999999
2012-10-04 08:00:00-05:00,33050.066400000003,33532.410000000003,32656.911199999999,33235.281999999999
2012-10-04 08:15:00-05:00,33387.657599999999,33532.410000000003,32656.911199999999,33235.281999999999
2012-10-04 08:30:00-05:00,33675.920599999998,33532.410000000003,32656.911199999999,33235.281999999999
2012-10-04 08:45:00-05:00,34080.419300000001,33532.410000000003,32656.911199999999,33235.281999999999
2012-10-04 09:00:00-05:00,34737.207000000002,35434.900000000001,34872.923799999997,35196.4251
2012-10-04 09:15:00-05:00,35213.313800000004,35434.900000000001,34872.923799999997,35196.4251
2012-10-04 09:30:00-05:00,35724.618499999997,35434.900000000001,34872.923799999997,35196.4251
2012-10-04 09:45:00-05:00,36207.735699999997,35434.900000000001,34872.923799999997,35196.4251
2012-10-04 10:00:00-05:00,36742.3099,37549.169999999998,36486.353900000002,36964.979399999997
2012-10-04 10:15:00-05:00,37335.764300000003,37549.169999999998,36486.353900000002,36964.979399999997
2012-10-04 10:30:00-05:00,37834.707000000002,37549.169999999998,36486.353900000002,36964.979399999997
2012-10-04 10:45:00-05:00,38384.158900000002,37549.169999999998,36486.353900000002,36964.979399999997
2012-10-04 11:00:00-05:00,38883.360699999997,39738.529999999999,39028.6149,39617.963900000002
2012-10-04 11:15:00-05:00,39510.091099999998,39738.529999999999,39028.6149,39617.963900000002
2012-10-04 11:30:00-05:00,39988.509100000003,39738.529999999999,39028.6149,39617.963900000002
2012-10-04 11:45:00-05:00,40670.242200000001,39738.529999999999,39028.6149,39617.963900000002
2012-10-04 12:00:00-05:00,41122.777300000002,41906.0,41169.0959,41462.288699999997
2012-10-04 12:15:00-05:00,41609.099000000002,41906.0,41169.0959,41462.288699999997
2012-10-04 12:30:00-05:00,42181.691400000003,41906.0,41169.0959,41462.288699999997
2012-10-04 12:45:00-05:00,42805.602899999998,41906.0,41169.0959,41462.288699999997
2012-10-04 13:00:00-05:00,43411.821600000003,44188.540000000001,44183.800999999999,43959.0553
2012-10-04 13:15:00-05:00,44020.188800000004,44188.540000000001,44183.800999999999,43959.0553
2012-10-04 13:30:00-05:00,44493.135399999999,44188.540000000001,44183.800999999999,43959.0553
2012-10-04 13:45:00-05:00,44925.0,44188.540000000001,44183.800999999999,43959.0553
2012-10-04 14:00:00-05:00,45447.6875,46094.68,47383.947099999998,46492.1391
2012-10-04 14:15:00-05:00,46006.3177,46094.68,47383.947099999998,46492.1391
2012-10-04 14:30:00-05:00,46295.717400000001,46094.68,47383.947099999998,46492.1391
2012-10-04 14:45:00-05:00,46708.036500000002,46094.68,47383.947099999998,46492.1391
