Datetime,RTD 2012-10-04 16:20,RTD 2012-10-04 16:15,RTD 2012-10-04 15:20,RT,DA
2012-10-04 00:00:00-05:00,,,,16.41,17.440000000000001
2012-10-04 00:15:00-05:00,,,,16.809999999999999,17.440000000000001
2012-10-04 00:30:00-05:00,,,,18.16,17.440000000000001
2012-10-04 00:45:00-05:00,,,,16.170000000000002,17.440000000000001
2012-10-04 01:00:00-05:00,,,,12.5,15.609999999999999
2012-10-04 01:15:00-05:00,,,,9.5399999999999991,15.609999999999999
2012-10-04 01:30:00-05:00,,,,2.1200000000000001,15.609999999999999
2012-10-04 01:45:00-05:00,,,,4.1399999999999997,15.609999999999999
2012-10-04 02:00:00-05:00,,,,7.1900000000000004,14.949999999999999
2012-10-04 02:15:00-05:00,,,,4.8799999999999999,14.949999999999999
2012-10-04 02:30:00-05:00,,,,1.77,14.949999999999999
2012-10-04 02:45:00-05:00,,,,4.96,14.949999999999999
2012-10-04 03:00:00-05:00,,,,3.5499999999999998,14.35
2012-10-04 03:15:00-05:00,,,,1.6799999999999999,14.35
2012-10-04 03:30:00-05:00,,,,6.2400000000000002,14.35
2012-10-04 03:45:00-05:00,,,,7.3700000000000001,14.35
2012-10-04 04:00:00-05:00,,,,9.3000000000000007,15.59
2012-10-04 04:15:00-05:00,,,,10.289999999999999,15.59
2012-10-04 04:30:00-05:00,,,,12.76,15.59
2012-10-04 04:45:00-05:00,,,,16.920000000000002,15.59
2012-10-04 05:00:00-05:00,,,,17.77,17.699999999999999
2012-10-04 05:15:00-05:00,,,,18.949999999999999,17.699999999999999
2012-10-04 05:30:00-05:00,,,,19.739999999999998,17.699999999999999
2012-10-04 05:45:00-05:00,,,,20.98,17.699999999999999
2012-10-04 06:00:00-05:00,,,,21.039999999999999,23.5
2012-10-04 06:15:00-05:00,,,,21.91,23.5
2012-10-04 06:30:00-05:00,,,,22.550000000000001,23.5
2012-10-04 06:45:00-05:00,,,,22.690000000000001,23.5
2012-10-04 07:00:00-05:00,,,,22.210000000000001,24.5
2012-10-04 07:15:00-05:00,,,,21.93,24.5
2012-10-04 07:30:00-05:00,,,,21.77,24.5
2012-10-04 07:45:00-05:00,,,,22.100000000000001,24.5
2012-10-04 08:00:00-05:00,,,,22.16,23.870000000000001
2012-10-04 08:15:00-05:00,,,,22.550000000000001,23.870000000000001
2012-10-04 08:30:00-05:00,,,,22.73,23.870000000000001
2012-10-04 08:45:00-05:00,,,,23.68,23.870000000000001
2012-10-04 09:00:00-05:00,,,,26.870000000000001,26.469999999999999
2012-10-04 09:15:00-05:00,,,,31.469999999999999,26.469999999999999
2012-10-04 09:30:00-05:00,,,,25.27,26.469999999999999
2012-10-04 09:45:00-05:00,,,,24.079999999999998,26.469999999999999
2012-10-04 10:00:00-05:00,,,,23.030000000000001,26.170000000000002
2012-10-04 10:15:00-05:00,,,,23.82,26.170000000000002
2012-10-04 10:30:00-05:00,,,,23.670000000000002,26.170000000000002
2012-10-04 10:45:00-05:00,,,,23.629999999999999,26.170000000000002
2012-10-04 11:00:00-05:00,,,,22.780000000000001,29.039999999999999
2012-10-04 11:15:00-05:00,,,,23.030000000000001,29.039999999999999
2012-10-04 11:30:00-05:00,,,,23.100000000000001,29.039999999999999
2012-10-04 11:45:00-05:00,,,,23.469999999999999,29.039999999999999
2012-10-04 12:00:00-05:00,,,,22.969999999999999,32.359999999999999
2012-10-04 12:15:00-05:00,,,,22.640000000000001,32.359999999999999
2012-10-04 12:30:00-05:00,,,,23.199999999999999,32.359999999999999
2012-10-04 12:45:00-05:00,,,,23.859999999999999,32.359999999999999
2012-10-04 13:00:00-05:00,,,,25.460000000000001,35.0
2012-10-04 13:15:00-05:00,,,,27.48,35.0
2012-10-04 13:30:00-05:00,,,,27.620000000000001,35.0
2012-10-04 13:45:00-05:00,,,,28.140000000000001,35.0
2012-10-04 14:00:00-05:00,,,,27.710000000000001,40.640000000000001
2012-10-04 14:15:00-05:00,,,,28.609999999999999,40.640000000000001
2012-10-04 14:30:00-05:00,,,,30.780000000000001,40.640000000000001
2012-10-04 14:45:00-05:00,,,,37.420000000000002,40.640000000000001
2012-10-04 15:00:00-05:00,,,,34.609999999999999,47.130000000000003
2012-10-04 15:15:00-05:00,,,,33.829999999999998,47.130000000000003
2012-10-04 15:20:00-05:00,,,33.609999999999999,33.829999999999998,47.130000000000003
2012-10-04 15:25:00-05:00,,,34.490000000000002,33.829999999999998,47.130000000000003
2012-10-04 15:30:00-05:00,,,36.770000000000003,37.859999999999999,47.130000000000003
2012-10-04 15:35:00-05:00,,,37.560000000000002,37.859999999999999,47.130000000000003
2012-10-04 15:40:00-05:00,,,38.329999999999998,37.859999999999999,47.130000000000003
2012-10-04 15:45:00-05:00,,,39.100000000000001,38.479999999999997,47.130000000000003
2012-10-04 15:50:00-05:00,,,39.619999999999997,38.479999999999997,47.130000000000003
2012-10-04 15:55:00-05:00,,,39.640000000000001,38.479999999999997,47.130000000000003
2012-10-04 16:00:00-05:00,,,39.859999999999999,40.030000000000001,53.630000000000003
2012-10-04 16:05:00-05:00,,,39.950000000000003,40.030000000000001,53.630000000000003
2012-10-04 16:10:00-05:00,,,40.159999999999997,40.030000000000001,53.630000000000003
2012-10-04 16:15:00-05:00,,40.049999999999997,,,53.630000000000003
2012-10-04 16:20:00-05:00,40.530000000000001,40.990000000000002,,,53.630000000000003
2012-10-04 16:25:00-05:00,40.82,41.240000000000002,,,53.630000000000003
2012-10-04 16:30:00-05:00,40.979999999999997,41.539999999999999,,,53.630000000000003
