Hour beginning,Current 2012-10-13 12:00,Previous 2012-10-13 11:00,Delta
0,39395,39395,0
1,38509,38509,0
2,37890,37890,0
3,38132,38132,0
4,39168,39168,0
5,38271,38271,0
6,38439,38439,0
7,38930,38930,0
8,40373,40373,0
9,42477,42477,0
10,44345,44345,0
11,45404,45404,0
12,46571,46571,0
13,47104,47023,81
14,47418,48217,-798
15,47281,48184,-901
16,47294,48204,-909
17,47089,47863,-773
18,46006,46715,-708
19,45226,46008,-781
20,44834,46074,-1239
21,44737,45480,-742
22,42034,42739,-704
23,39811,39738,72
