Datetime,5MIN WIND,HOURLY WIND,STWPF FORECAST 2012-10-03 12:00,STWPF FORECAST 2012-10-04 15:00
2012-10-04 00:00:00-05:00,7587.8000000000002,7381.3400000000001,7125.8999999999996,7887.3000000000002
2012-10-04 00:05:00-05:00,7554.3900000000003,7381.3400000000001,7125.8999999999996,7887.3000000000002
2012-10-04 00:10:00-05:00,7481.29,7381.3400000000001,7125.8999999999996,7887.3000000000002
2012-10-04 00:15:00-05:00,7417.6700000000001,7381.3400000000001,7125.8999999999996,7887.3000000000002
2012-10-04 00:20:00-05:00,7426.7299999999996,7381.3400000000001,7125.8999999999996,7887.3000000000002
2012-10-04 00:25:00-05:00,7476.3199999999997,7381.3400000000001,7125.8999999999996,7887.3000000000002
2012-10-04 00:30:00-05:00,7351.1800000000003,7381.3400000000001,7125.8999999999996,7887.3000000000002
2012-10-04 00:35:00-05:00,7295.8100000000004,7381.3400000000001,7125.8999999999996,7887.3000000000002
2012-10-04 00:40:00-05:00,7334.2799999999997,7381.3400000000001,7125.8999999999996,7887.3000000000002
2012-10-04 00:45:00-05:00,7315.6599999999999,7381.3400000000001,7125.8999999999996,7887.3000000000002
2012-10-04 00:50:00-05:00,7306.7700000000004,7381.3400000000001,7125.8999999999996,7887.3000000000002
2012-10-04 00:55:00-05:00,7277.8299999999999,7381.3400000000001,7125.8999999999996,7887.3000000000002
2012-10-04 01:00:00-05:00,7323.1400000000003,7359.9899999999998,7016.1000000000004,7731.3999999999996
2012-10-04 01:05:00-05:00,7304.2200000000003,7359.9899999999998,7016.1000000000004,7731.3999999999996
2012-10-04 01:10:00-05:00,7371.7200000000003,7359.9899999999998,7016.1000000000004,7731.3999999999996
2012-10-04 01:15:00-05:00,7440.0299999999997,7359.9899999999998,7016.1000000000004,7731.3999999999996
2012-10-04 01:20:00-05:00,7414.25,7359.9899999999998,7016.1000000000004,7731.3999999999996
2012-10-04 01:25:00-05:00,7404.8400000000001,7359.9899999999998,7016.1000000000004,7731.3999999999996
2012-10-04 01:30:00-05:00,7371.6700000000001,7359.9899999999998,7016.1000000000004,7731.3999999999996
2012-10-04 01:35:00-05:00,7367.1700000000001,7359.9899999999998,7016.1000000000004,7731.3999999999996
2012-10-04 01:40:00-05:00,7350.7299999999996,7359.9899999999998,7016.1000000000004,7731.3999999999996
2012-10-04 01:45:00-05:00,7325.3999999999996,7359.9899999999998,7016.1000000000004,7731.3999999999996
2012-10-04 01:50:00-05:00,7325.1599999999999,7359.9899999999998,7016.1000000000004,7731.3999999999996
2012-10-04 01:55:00-05:00,7309.1899999999996,7359.9899999999998,7016.1000000000004,7731.3999999999996
2012-10-04 02:00:00-05:00,7323.7200000000003,7238.5100000000002,6785.6000000000004,7573.6999999999998
2012-10-04 02:05:00-05:00,7300.0900000000001,7238.5100000000002,6785.6000000000004,7573.6999999999998
2012-10-04 02:10:00-05:00,7336.0600000000004,7238.5100000000002,6785.6000000000004,7573.6999999999998
2012-10-04 02:15:00-05:00,7364.3400000000001,7238.5100000000002,6785.6000000000004,7573.6999999999998
2012-10-04 02:20:00-05:00,7341.0299999999997,7238.5100000000002,6785.6000000000004,7573.6999999999998
2012-10-04 02:25:00-05:00,7241.5699999999997,7238.5100000000002,6785.6000000000004,7573.6999999999998
2012-10-04 02:30:00-05:00,7177.1199999999999,7238.5100000000002,6785.6000000000004,7573.6999999999998
2012-10-04 02:35:00-05:00,7146.6000000000004,7238.5100000000002,6785.6000000000004,7573.6999999999998
2012-10-04 02:40:00-05:00,7190.1300000000001,7238.5100000000002,6785.6000000000004,7573.6999999999998
2012-10-04 02:45:00-05:00,7194.4799999999996,7238.5100000000002,6785.6000000000004,7573.6999999999998
2012-10-04 02:50:00-05:00,7178.1000000000004,7238.5100000000002,6785.6000000000004,7573.6999999999998
2012-10-04 02:55:00-05:00,7185.6199999999999,7238.5100000000002,6785.6000000000004,7573.6999999999998
2012-10-04 03:00:00-05:00,7199.6899999999996,7063.25,6598.1999999999998,7443.3999999999996
2012-10-04 03:05:00-05:00,7165.2200000000003,7063.25,6598.1999999999998,7443.3999999999996
2012-10-04 03:10:00-05:00,7146.5500000000002,7063.25,6598.1999999999998,7443.3999999999996
2012-10-04 03:15:00-05:00,7117.3900000000003,7063.25,6598.1999999999998,7443.3999999999996
2012-10-04 03:20:00-05:00,7061.6800000000003,7063.25,6598.1999999999998,7443.3999999999996
2012-10-04 03:25:00-05:00,7033.9300000000003,7063.25,6598.1999999999998,7443.3999999999996
2012-10-04 03:30:00-05:00,7064.5600000000004,7063.25,6598.1999999999998,7443.3999999999996
2012-10-04 03:35:00-05:00,7069.8100000000004,7063.25,6598.1999999999998,7443.3999999999996
2012-10-04 03:40:00-05:00,7038.7799999999997,7063.25,6598.1999999999998,7443.3999999999996
2012-10-04 03:45:00-05:00,7017.4799999999996,7063.25,6598.1999999999998,7443.3999999999996
2012-10-04 03:50:00-05:00,7008.6400000000003,7063.25,6598.1999999999998,7443.3999999999996
2012-10-04 03:55:00-05:00,7025.96,7063.25,6598.1999999999998,7443.3999999999996
2012-10-04 04:00:00-05:00,7002.4300000000003,7011.1300000000001,6328.8999999999996,6997.0
2012-10-04 04:05:00-05:00,7028.7700000000004,7011.1300000000001,6328.8999999999996,6997.0
2012-10-04 04:10:00-05:00,7048.0600000000004,7011.1300000000001,6328.8999999999996,6997.0
2012-10-04 04:15:00-05:00,7033.4700000000003,7011.1300000000001,6328.8999999999996,6997.0
2012-10-04 04:20:00-05:00,7004.79,7011.1300000000001,6328.8999999999996,6997.0
